datum;dag;maand;jaar;Belgie;Nederland;Duitsland;Frankrijk;Denemarken;Zweden;Luxemburg;dagID
1/01/2020;1;1;2020;0;0;0;0;0;0;0;1
2/01/2020;2;1;2020;0;0;0;0;0;0;0;2
3/01/2020;3;1;2020;0;0;0;0;0;0;0;3
4/01/2020;4;1;2020;0;0;0;0;0;0;0;4
5/01/2020;5;1;2020;0;0;0;0;0;0;0;5
6/01/2020;6;1;2020;0;0;0;0;0;0;0;6
7/01/2020;7;1;2020;0;0;0;0;0;0;0;7
8/01/2020;8;1;2020;0;0;0;0;0;0;0;8
9/01/2020;9;1;2020;0;0;0;0;0;0;0;9
10/01/2020;10;1;2020;0;0;0;0;0;0;0;10
11/01/2020;11;1;2020;0;0;0;0;0;0;0;11
12/01/2020;12;1;2020;0;0;0;0;0;0;0;12
13/01/2020;13;1;2020;0;0;0;0;0;0;0;13
14/01/2020;14;1;2020;0;0;0;0;0;0;0;14
15/01/2020;15;1;2020;0;0;0;0;0;0;0;15
16/01/2020;16;1;2020;0;0;0;0;0;0;0;16
17/01/2020;17;1;2020;0;0;0;0;0;0;0;17
18/01/2020;18;1;2020;0;0;0;0;0;0;0;18
19/01/2020;19;1;2020;0;0;0;0;0;0;0;19
20/01/2020;20;1;2020;0;0;0;0;0;0;0;20
21/01/2020;21;1;2020;0;0;0;0;0;0;0;21
22/01/2020;22;1;2020;0;0;0;0;0;0;0;22
23/01/2020;23;1;2020;0;0;0;0;0;0;0;23
24/01/2020;24;1;2020;0;0;0;0;0;0;0;24
25/01/2020;25;1;2020;0;0;0;3;0;0;0;25
26/01/2020;26;1;2020;0;0;0;0;0;0;0;26
27/01/2020;27;1;2020;0;0;0;0;0;0;0;27
28/01/2020;28;1;2020;0;0;1;0;0;0;0;28
29/01/2020;29;1;2020;0;0;3;1;0;0;0;29
30/01/2020;30;1;2020;0;0;0;1;0;0;0;30
31/01/2020;31;1;2020;0;0;1;1;0;0;0;31
1/02/2020;1;2;2020;0;0;2;0;0;0;0;32
2/02/2020;2;2;2020;0;0;1;0;0;0;0;33
3/02/2020;3;2;2020;0;0;1;0;0;0;0;34
4/02/2020;4;2;2020;1;0;2;0;0;0;0;35
5/02/2020;5;2;2020;0;0;0;0;0;1;0;36
6/02/2020;6;2;2020;0;0;0;0;0;0;0;37
7/02/2020;7;2;2020;0;0;1;0;0;0;0;38
8/02/2020;8;2;2020;0;0;1;5;0;0;0;39
9/02/2020;9;2;2020;0;0;0;0;0;0;0;40
10/02/2020;10;2;2020;0;0;0;0;0;0;0;41
11/02/2020;11;2;2020;0;0;0;0;0;0;0;42
12/02/2020;12;2;2020;0;0;2;0;0;0;0;43
13/02/2020;13;2;2020;0;0;0;0;0;0;0;44
14/02/2020;14;2;2020;0;0;0;0;0;0;0;45
15/02/2020;15;2;2020;0;0;0;0;0;0;0;46
16/02/2020;16;2;2020;0;0;0;0;0;0;0;47
17/02/2020;17;2;2020;0;0;0;1;0;0;0;48
18/02/2020;18;2;2020;0;0;0;0;0;0;0;49
19/02/2020;19;2;2020;0;0;0;0;0;0;0;50
20/02/2020;20;2;2020;0;0;0;0;0;0;0;51
21/02/2020;21;2;2020;0;0;0;0;0;0;0;52
22/02/2020;22;2;2020;0;0;0;0;0;0;0;53
23/02/2020;23;2;2020;0;0;0;0;0;0;0;54
24/02/2020;24;2;2020;0;0;0;0;0;0;0;55
25/02/2020;25;2;2020;0;0;0;0;0;0;0;56
26/02/2020;26;2;2020;0;0;2;2;0;0;0;57
27/02/2020;27;2;2020;0;0;4;3;1;1;0;58
28/02/2020;28;2;2020;0;1;26;21;0;1;0;59
29/02/2020;29;2;2020;0;1;10;19;1;8;0;60
1/03/2020;1;3;2020;18;5;54;43;1;3;0;61
2/03/2020;2;3;2020;0;6;18;30;1;0;0;62
3/03/2020;3;3;2020;19;5;28;48;1;5;0;63
4/03/2020;4;3;2020;34;10;39;34;3;13;0;64
5/03/2020;5;3;2020;53;10;66;73;2;30;0;65
