eigenaar;koper;beschrijving;stijl;vraagprijs;verkoopprijs;oppervlakte;tuin;verdiepingen;slaapkamers;afwerkingsniveau;bouwjaar
Ferre Wuyts;Lina Hermans;Omnis voluptates eius temporibus laborum inventore ea.;rijhuis;399000;;121.0;146.0;1;2;2;2001
Florian Sahin;Lily Louis;A possimus qui qui dolores saepe fuga.;appartement;259000;220000.0;94.0;15.0;1;2;3;1884
Bo Renard;;Delectus aliquam fuga corporis accusantium alias hic sapiente quis.;rijhuis;449000;407000.0;180.0;59.0;2;4;3;1937
Daan Goffin;Simon Leonard;Autem aliquid quam sed exercitationem perspiciatis.;halfopen;464000;433000.0;228.0;124.0;2;3;1;2022
Lara Charlier;;Ab ipsam aperiam molestiae tempore.;appartement;306000;283000.0;124.0;19.0;1;3;1;1945
Luca Legrand;Luna Sahin;Aut quia sequi repellendus et.;rijhuis;482000;468000.0;163.0;149.0;2;3;4;1939
Malak Delvaux;;Odit quo perferendis corrupti eos.;hoeve;442000;;169.0;5358.0;2;4;2;1944
Nolan Goethals;Louise Jansen;Ullam id atque in sint perspiciatis ea.;landelijk;645000;594000.0;253.0;1259.0;2;2;2;1913
Yasmine De Winter;;Aliquam aspernatur maiores dolorem eum ipsam.;appartement;436000;408000.0;175.0;0.0;1;2;1;2025
Alexia Bah;;Nostrum non a quia dolore rerum reiciendis.;rijhuis;378000;;105.0;116.0;2;4;4;2023
Lucas Descamps;Lotte Cuvelier;Est adipisci nam expedita rerum aut.;landelijk;308000;268000.0;125.0;1845.0;2;3;2;2016
Benjamin Gérard;Milan De Cock;Incidunt temporibus in laudantium rerum quasi autem id.;hoeve;609000;559000.0;174.0;3952.0;2;3;3;1975
Samuel Bastin;Lore De Vos;Possimus enim qui tenetur est soluta necessitatibus consequuntur alias.;halfopen;434000;385000.0;179.0;0.0;2;4;1;2012
Ella Somers;Romain Bauwens;Qui in aliquid beatae dolorem ut velit voluptatem ea qui.;landelijk;499000;459000.0;243.0;2606.0;2;4;1;2013
Julia Yildirim;Seppe Messaoudi;Eaque dolores laudantium laudantium modi.;appartement;351000;330000.0;99.0;48.0;1;2;2;2020
Mohamed Christiaens;;Itaque inventore dolor quos veniam ut dolor ab.;open;651000;597000.0;167.0;376.0;2;2;5;1921
Sacha Timmermans;;Blanditiis aut dolorem accusamus est ut qui.;open;1193000;1108000.0;295.0;606.0;2;4;2;1988
Arne Barry;Sander Verschueren;Quia sed veritatis eum et.;landelijk;792000;761000.0;232.0;3001.0;2;3;3;2023
Quinten Evrard;Alexis Piette;Maxime recusandae saepe accusamus quos in assumenda dolor.;rijhuis;913000;874000.0;203.0;245.0;2;4;5;1917
Anna Carlier;;Nihil natus sint sint et vel aut exercitationem.;halfopen;406000;370000.0;141.0;19.0;2;2;2;1950
Emma Hermans;Giulia Denis;Similique reprehenderit quo rerum pariatur sit error quo.;halfopen;403000;369000.0;196.0;196.0;2;3;1;1984
Hanne Timmermans;Jules Vervoort;Qui et rerum dolor ipsa ea.;appartement;274000;243000.0;84.0;10.0;1;1;4;1920
Luna Legrand;Aaron Lambrechts;Recusandae nisi dolore doloremque delectus possimus eum.;villa;949000;863000.0;344.0;100.0;2;5;4;1861
Liam Marchal;Alice Barry;Nostrum ipsum molestias id temporibus.;open;438000;421000.0;172.0;411.0;2;3;2;1914
Mats Vermeersch;Baptiste Collard;Qui autem reiciendis ullam alias.;open;702000;647000.0;175.0;317.0;2;4;4;2010
Antoine De Vos;Pauline Jansen;Possimus sed suscipit officiis harum neque maxime minima.;villa;641000;;231.0;1455.0;2;4;1;2019
Axelle Goossens;;Enim enim delectus omnis consequuntur assumenda dolore omnis ut a.;villa;573000;524000.0;187.0;1315.0;1;3;2;1943
Tess Van Damme;Janne Piette;Ea odit accusantium ab in.;appartement;224000;199000.0;90.0;0.0;1;2;2;1928
Rania Parmentier;Ferre Nguyen;Dolore qui officia maiores voluptas exercitationem dolorem nam laboriosam.;rijhuis;537000;481000.0;168.0;164.0;3;4;4;1910
Loïc De Smet;Yanis Etienne;Molestiae consequatur cum id quas nihil.;halfopen;366000;331000.0;124.0;172.0;2;2;4;1940
Jeanne Dupont;Robin Lacroix;Numquam a ea repellendus aperiam tempora neque saepe.;rijhuis;527000;521000.0;227.0;16.0;2;4;2;2016
Roos Delvaux;Charlotte Goossens;Explicabo quo dolores molestias non quis blanditiis vitae mollitia maxime.;villa;606000;591000.0;152.0;997.0;2;5;2;2020
Gabriel Gillet;Rania Segers;Commodi rerum quod qui deleniti harum delectus ut totam.;villa;1009000;959000.0;258.0;694.0;2;5;4;1997
Tuur Boulanger;;Sint eveniet ut veniam maiores ut rerum non quia.;landelijk;588000;551000.0;147.0;3144.0;2;2;4;2003
Kaat Nguyen;;In quis aut iure ad.;appartement;183000;176000.0;62.0;28.0;1;2;2;1885
Victoria Van den Broeck;Jonas Janssens;Voluptas ducimus et sit expedita sit veniam maiores omnis.;appartement;120000;114000.0;47.0;4.0;1;1;2;1882
Lisa Somers;Manon Vandamme;Harum culpa sint enim qui rerum.;rijhuis;456000;442000.0;152.0;61.0;2;3;4;2010
Elias Bernard;Hajar Gérard;Earum debitis quam ullam eius repellat.;open;217000;;101.0;50.0;2;4;2;1909
Rune Hubert;;Similique voluptatem in non tenetur sunt eius quas ut.;appartement;303000;281000.0;109.0;40.0;1;3;4;1987
Ella Lefebvre;Finn Christiaens;Dolorem et dicta qui quae molestiae recusandae consequatur.;hoeve;281000;258000.0;143.0;5973.0;1;3;1;1868
Finn Verbeeck;Sara Nguyen;Sunt molestiae doloribus id omnis laboriosam repellat aliquid deleniti et.;appartement;346000;;103.0;34.0;1;2;4;1903
